SL,Name,Scope
221,Journal of Engineering (United States),"      Journal of Engineering is a peer-reviewed, Open Access journal that publishes original research articles as well as review articles in several areas of engineering. The subject areas covered by the journal are:- Chemical Engineering- Civil Engineering- Computer Engineering- Electrical Engineering- Industrial Engineering- Mechanical Engineering        "
222,Open Engineering,"      Open Engineering publishes research results of wide interest in emerging interdisciplinary and traditional engineering fields, including:electrical and computer engineering,civil and environmental engineering,mechanical and aerospace engineering,material science and engineering.The journal is designed to facilitate the exchange of innovative and interdisciplinary ideas between researchers from different countries. Open Engineering is a peer-reviewed, English language journal. Researchers from non-English speaking regions are provided with free language correction by scientists who are native speakers. Additionally, each published article is widely promoted to researchers working in the same field.        "
223,Informes de la Construccion,"      Founded in 1948 by the Instituto Técnico de la Construcción y del Cemento, Informes de la Construcción is a scientific journal issued quarterly. Its articles cover fields such as architecture, engineering, public works, environment, building services, rehabilitation, construction systems, testing techniques, results of research on building components and systems and so forth. Journal""s readership includes architects, engineers and construction companies, as well as researchers and professionals engaging in building construction and public works.        "
224,Revista de la Construccion,"      The Journal of Construction is aimed at professionals, constructors, academics, researchers, companies, architects, engineers, and anyone who wishes to expand and update their knowledge about construction.  We therefore invite all researchers, academics, and professionals to send their contributions for assessment and possible publication in this journal. The publications are free of publication charges. OBJECTIVESThe objectives of the Journal of Construction are:1. To disseminate new knowledge in all areas related to construction (Building, Civil Works, Materials, Business, Education, etc.).2. To provide professionals in the area with material for discussion to refresh and update their knowledge.3. To disseminate new applied technologies in construction nationally and internationally.4. To provide national and foreign academics with an internationally endorsed medium in which to share their knowledge and debate the topics raised.         "
225,Journal of Water Management Modeling,"      JWMM publishes novel methodologies and advances, from basic research to planning, engineering and operational studies, with an accent on useful and pragmatic ideas and engineering. Accentuating the nuanced difference between applied technology and fundamental science, JWMM fosters an unusual cooperation between three sub-communities (developers, users and beneficiaries) on conceptual and practical engineering models of urban, rural and watershed scale water supply and drainage systems, both natural and engineered.        "
226,Revista Ingenieria de Construccion,"      RIC is a journal oriented so much to academics as to professionals. The journal publishes originals and unpublished works, as much in Spanish as in English in all the important topics of engineering and construction management such as: construction materials; technologies, methods and construction processes; construction management and its resources; enterprise management in the construction; viable construction and rehabilitation of materials and structures and other topics of interest. The journal includes articles that inform the results of the investigation as well as applications and practise cases. The opinions expressed in the articles are the sole responsability of their authors and not necessarily reflect the Engineering Department and Construction Management nor the Publisher point of view. We invite researchers, academics and interested professionals to contribute with articles to be published in the journal or send discussions on the articles already published.        "
227,"African Journal of Science, Technology, Innovation and Development","      African Journal of Science, Technology, Innovation & Development (AJSTID) is a multidiscipline journal covering economics, science, engineering, and technology, but with the core focus on economics of innovation and development. AJSTID provides an important outlet to research on process and impact of science, technology and innovation at two levels: the narrow objective of achieving industrial growth, and the broader objective of achieving socio-economic development, particularly in Africa and other developing economies.AJSTID aims to undertake and promote the scientific research in a broader sense. It provides an outlet for research works by scientists, academia, engineers, practitioners, doctoral scholars and post graduate students concerned with the impact of science, technology and innovation process on industrial, economic, and social development. AJSTID brings Publishing to the doorstep of every emerging researcher in Africa and other developing countries.        "
228,Journal of the Korea Concrete Institute,"      The Journal of the Korea Concrete Institute(J. Korea Concr. Inst.) provides a forum targeted for engineers and scientists to present and discuss various topics related to concrete, concrete structures and other allied materials incorporating cement, cementitious binder and polymer or fiber in conjunction with concrete. These forums give participants an opportunity to contribute their knowledge for the advancement of society. Topics include, but are not limited to, research results on properties and performance of concrete and concrete structures, advanced and improved experimental techniques, latest modeling methods, possible improvement and enhancement of concrete properties, structural and microstructural characterization, concrete application, fiber reinforced concrete technology, and waste management. The Journal of the Korea Concrete Institute also publishes review articles, as well as short communications and discussions.        "
229,Proceedings of the Institution of Civil Engineers: Urban Design and Planning,"      Urban Design and Planning publishes refereed papers and short articles addressing the design and planning of the built environment, emphasizing the interfaces between urban policy, design, construction and management.Topics covered by the journal include social, economic and environmental aspects of topics such as sustainable settlements, community regeneration, urban infrastructure and transport systems.Urban Design and Planning operates a double-blind review process.        "
230,International Journal of Supply and Operations Management,"      International Journal of Supply and Operations Management (IJSOM) is a scholarly peer-reviewed international scientific journal and is committed to publishing scholarly empirical and theoretical research articles that have a high impact on the engineering & management field as a whole. All aspects of the subject in relation to Logistics, Supply and Operations Management are covered. The ultimate objective of the journal is to disseminate knowledge for improving industrial practice and to strengthen the theoretical base necessary for supporting sound decision making.        "
231,International Journal of High-Rise Buildings,"      The scope of the Journal includes, but is not limited to, the areas of High-rise building construction:-Architectural Planning & Design-Construction Technology-Structural Engineering-Sustainability / Energy Saving / MEP-Urban Planning & Design        "
232,International Journal of Integrated Engineering,"      The International Journal of Integrated Engineering (IJIE) is a single blind peer reviewed journal which publishes 3 times a year since 2009. The journal is dedicated to various issues focusing on 3 different fields which are:-Civil and Environmental Engineering. Original contributions for civil and environmental engineering related practices will be publishing under this category and as the nucleus of the journal contents. The journal publishes a wide range of research and application papers which describe laboratory and numerical investigations or report on full scale projects.Electrical and Electronic Engineering. It stands as a international medium for the publication of original papers concerned with the electrical and electronic engineering. The journal aims to present to the international community important results of work in this field, whether in the form of research, development, application or design.Mechanical, Materials and Manufacturing Engineering. It is a platform for the publication and dissemination of original work which contributes to the understanding of the main disciplines underpinning the mechanical, materials and manufacturing engineering. Original contributions giving insight into engineering practices related to mechanical, materials and manufacturing engineering form the core of the journal contents.         "
233,Progress in Steel Building Structures,"      ""Progress in Steel Building Structures"", administrated by Ministry of Education and hosted by Tongji University, is a learned journal with national class in structural engineering field. The journal aims at reflecting the development trend of science and technology in steel building industry, promoting academic exchanges by means of reporting the latest scientific research achievements on new material, new technology, new design method, new structural system and their dissemination and applications in actual projects.        "
234,Journal of the South African Institution of Civil Engineering,"      The Journal of the South African Institution of Civil Engineering publishes peer reviewed papers on all aspects of Civil Engineering relevant to Africa. It is an open access, ISI accredited journal, providing authoritative information not only on current developments, but also – through its back issues – giving access to data on established practices and the construction of existing infrastructure. It is published quarterly and is controlled by a Journal Editorial Panel.The forerunner of the South African Institution of Civil Engineering was established in 1903 as a learned society aiming to develop technology and to share knowledge for the development of the day. The minutes of the proceedings of the then Cape Society of Civil Engineers mainly contained technical papers presented at the Society's meetings. Since then, and throughout its long history, during which time it has undergone several name changes, the organisation has continued to publish technical papers in its monthly publication (magazine), until 1993 when it created a separate journal for the publication of technical papers.        "
235,WSEAS Transactions on Applied and Theoretical Mechanics,      Information not localized        
236,Geotechnical Engineering,"      The objectives of the Association shall be the promotion of co-operation among geotechnical societies in SE Asia; and the assistance to member societies who have limited number of members. Now there is only one combined web titled: AGSSEA-SEAGS.SEAGS & AGSSEA encourage the submission of scholarly and practice-oriented articles to its journal. The journal is published quarterly. Both sponsors of the journal, the Southeast Asian Geotechnical Society and the Association of Geotechnical Societies in Southeast Asia, promote the ideals and goals of the International Society of Soil Mechanics and Geotechhnical Engineering in fostering communications, developing insights and enabling the advancement of the geotechnical engineering discipline.        "
237,International Journal of Structural Integrity,"      International Journal of Structural Integrity aims to bring together academic and industrial research in the area of Damage Tolerance Design and structural integrity. Works published in the journal reflect extensive and expensive research projects and usually have the quality control of large research centres and manufacturers.The journal encourages papers that encapsulates trends and problems usually not present in tradition research. In its unique conceptualisation, the journal brings together the key players governing the sectors of universities, research institutes, the manufacturing industry, legislative bodies, SMEs, consultancy companies and maintenance companies.It is within the policy of the International Journal of Structural Integrity to assist research consortia in disseminating their research findings. The journal is willing to publish, without scientific review, the whole or self sustained parts of the final research report. The submitted report should be signed by all members of the consortium and the outcomes should express their views only.Coverage includes but is not limited to:• Durability of Metallic and Composite Structures• Design and structural assessment of Metallic and Composite Structures• Advances in Fracture Analysis• Environmental Effects and Structural Performance• Examination of computational codes for Stress Analysis and Damage Tolerance• Structural Performance evaluation of Metals, Composites, Hybrids and Polymers• Repair technologies• Surface Engineering and Structural Performance• Coating Technology and Structural Performance• Structural Ageing• Nanomechanics and nanomaterials• Evaluation of Joining Technologies• Durability of Electronic Materials• Scale Effects and Determination• Probabilistic Approach to Damage Tolerance.        "
238,Archives of Civil Engineering,"      ARCHIVES OF CIVIL ENGINEERING publish original papers of the theoretical, experimental, numerical and practical nature in the fields of structural mechanics, soil mechanics and foundations engineering, concrete, metal, timber and composite polymer structures, hydrotechnical structures, roads, railways and bridges, building services, building physics, management in construction, production of construction materials, construction of civil engineering structures, education of civil engineers.        "
239,Acta Logistica,"      The aim of the Journal Acta logistica (AL) is to provide the academic platform in industrial logistics fields, including transport, education and pedagogy in logistics, science and research in logistics which are available to the general public and those interested in logistics and transport, including students, academics as well as industry experts. The papers offer imaginative and creative solutions to specific logistical and transport problems. The aim of the magazine is promoting and providing young scientists and educators with the opportunity to publish original research in order to create future professionals in this field and to act as the driving force of the economy and society.The output and establishment of the magazine is a direct consequence of the requirements of the European market for a specialized non-business magazine. Acta logistica (AL) - International Scientific Journal about Logistics is one of the few non-trade journals focused on logistics, not only in Central Europe. The editors intend to attract not only experts in the field but also anyone wishing to expand their knowledge of logistics, transport, education and pedagogy in this area.The journal focuses mainly on original, interesting, new and quality, theoretical, practical and application-oriented contributions to the scientific fields and research as well as to pedagogy and training in logistics and transport.        "
240,Journal of The Institution of Engineers (India): Series A,"      Series-A publishes research findings and opinions of various scientists and engineers related to the field of Civil, Architectural, Environmental and Agricultural. It covers different kinds of technological researches on the latest developmental domain of highly specialized fields like, earthquake engineering, geo-technical engineering, ocean engineering, structural engineering, traffic & highway engineering, industrial waste treatment, climate change, environmental pollutions, irrigation, water management, soil conservation practices, farm power & machineries, dairy & food engineering, post-harvest technology, and so on. It also serves the researchers and practitioners for performing a variety of analyses in the arena of green buildings, Energy Efficient Buildings, pollution related measures, food security and many more. The academicians and professionals have made efforts to find out the probable solutions to the issues as derived from natural, geographical, socio-economical and cultural conditions of the globe. Their achievements have contributed a lot to the evolution of research findings. Especially, the achievements in structural engineering have contributed to the world by developing technologies to ensure safety of buildings in earthquake-prone zones. This journal aims to contribute to resolve or mitigate the global as well as national problems by bringing together the new ideas, achievements and developments being taking place in this field.         "
241,Lean Construction Journal,"      Published by the Lean Construction Institute since 2003, the Lean Construction Journal (LCJ) is an international refereed journal devoted to Lean Construction practice and research.  LCJ is an open access journal, registered with the Directory of Open Access        "
242,Journal of the Korean Society for Railway,"      The Journal of the Korean Society for Railway (JKSR) launched in 1997 aims to provide a platform to exchange research information, establish and pioneer railway-related academia, and present research results that are both practical and unique. The journal covers various research results, derived from theory and experiments, on topics related to railways such as railway policy and management, railway facilities, carriage machinery, electrical signals, and track engineering. It includes research outcomes that can contribute directly to the improvement of railway technologies as well as innovative studies on fundamental areas that can be applied to railways including mechanics, electricity, civil engineering, logistics, management and so on. The themes addressed by the journal include, but not limited to the following:Rolling stock & Mechanical systems (materials, fracture, non-destructive testing, mechanics of materials and structures, design, dynamics and control, noise and vibration, heat and fluid mechanics, energy and power engineering, system engineering, reliability, maintenance, safety, etc.),Power & Signal systems (power engineering and systems, electrical devices, circuits and systems, materials and devices, control and measurement, automation, signal processing, electrical and information communication, reliability, maintenance, safety, etc.),Civil engineering for railway (structural engineering, material engineering, dynamics, seismic engineering, geotechnical engineering, measurement, geodetic survey, mapping, GIS, construction, architectural and environmental engineering, transportation engineering, etc.),Transportation policy & Operation (railway traffic planning and engineering, railway management policy, railway technology policy, railway logistics, railway operation, railway information system, railway culture, etc.).        "
243,World Journal of Engineering,"      The main focus of the World Journal of Engineering is an international journal with a broad scope covering all areas of engineering research and developments, including civil engineering, material and mechanical engineering, electrical and electronic engineering, geotechnical and mining engineering, nanoengineering and nanoscience.The journal bridges the gap between materials science and materials engineering, and between nano-engineering and nano-science. It accepts papers on both traditional and inter- and multidisciplinary research, and is interested in research which connects theory with practical applications.        "
244,International Journal of Transport Development and Integration,      Information not localized        
245,Transactions on Transport Sciences,"      Transactions on Transport Sciences is a multidisciplinary journal which focuses on the field of behavioural and social sciences in mobility, traffic safety, and sustainable transport, including engineering, economic, and environmental issues. The aim of the journal is to raise the profile of a holistic and interdisciplinary approach to transport research – the development of theory, empirical studies, and the application of research in practice. Theoretical papers are welcome. They should deal with a specific area or problem with a new way of looking at things or with a new methodology, even when the new perspective or methodology are not proven, yet. TOTS provides a platform for transportation experts and researchers, engineers, psychologists, sociologists, economics, ergonomists, and policymakers.        "
246,International Journal of Applied Mechanics and Engineering,"      INTERNATIONAL JOURNAL OF APPLIED MECHANICS AND ENGINEERING is an archival journal which aims to publish high quality original papers. These should encompass the best fundamental and applied science with an emphasis on their application to the highest engineering practice. The scope includes all aspects of science and engineering which have relevance to: biomechanics, elasticity, plasticity, vibrations, mechanics of structures, mechatronics, plates & shells, magnetohydrodynamics, rheology, thermodynamics, tribology, fluid dynamics.        "
247,Journal of Applied Nonlinear Dynamics,"      The Journal of Applied Nonlinear Dynamics is a journal aiming at increasing the basic and applied knowledge in the interdisciplinary field of nonlinear sciences, including nonlinear dynamics, chaos and complex systems, and focusing on physics, applied mathematics, engineering and other applied disciplines. The aim of the journal is to stimulate research in nonlinear phenomena in science and engineering. Manuscripts in complex dynamical systems with nonlinearity and chaos are solicited, which includes physical mechanisms of complex systems and engineering applications of nonlinear dynamics. The journal provides a place to researchers for the rapid exchange of ideas and techniques in nonlinear dynamics.No length limitations for contributions are set, but only concisely written manuscripts are published. Brief papers are published, either as technical notes or concise new results. Discussions of previous published papers are also welcome. The journal aims to be a forum of exchange of new research results for physicists, applied mathematicians, and engineers involved in Nonlinear Science and Numerical Simulation. Topics of interest includes but not limited toTopics of InterestDeterministic chaosNonlinear dynamical systems and controlFractional dynamics and applicationsSynchronization phenomenaFractal structures in nonlinear dynamicsFluctuations and noise effects on dynamical systemsChaos in Hamiltonian systemsNonlinearity and chaos in quantum mechanicsChaos in Astrophysics and Celestial DynamicsIntegrable systems and solitonsCollective behaviors in many-body systemsBiological physics and networksNonlinear mechanical systemsNonlinear phenomena and chaos in PhysicsComplex systems and complexity.        "
248,Tecnologia y Ciencias del Agua,"      Published by the Mexican Institute of Water Technology, Water Technology and Sciences (Tecnología y ciencias del agua) is a highly specialized journal which reflects two important characteristics:The interdisciplinary nature of its articles and notes.The international scope of its authors, editors, reviewers, and readers.It constitutes the continuity of the journal Irrigación en México (Irrigation in Mexico) (1930-1946); Ingeniería hidráulica en México (Hydraulic Engineering in Mexico) (1947-1971); Recursos hidráulicos (Hydraulic Resources) (1972-1978), and Ingeniería hidráulica en México, second period (1985-2009).The journal is aimed at researchers, academics, and professionals who are interested in finding solutions to problems related to the water.The journal’s contents are interdisciplinary and contain previously unpublished articles and notes that offer original scientific and technological contribution that are developed in the fields of knowledge related to the following disciplines:Water and energy.Water quality.Hydro-agricultural sciences.Political and social science.Water management.Hydrology.Hydraulics.        "
249,Advances in Transportation Studies,"      Advances in Transportation Studies (ATS) is a four-monthly refereed journal (ISSN: 1824-5463) that includes original full length papers, review articles, case studies on the most recent outcomes of advanced research in the field of Road and Highway Engineering, with a particular emphasis on the safety, effectiveness, efficiency and sustainability of transport modes. Moreover, special issues are published too, at least two per years.        "
250,Proceedings of the Institution of Civil Engineers: Engineering and Computational Mechanics,"      Engineering and Computational Mechanics publishes refereed papers and other short contributions on fundamental applied mechanics in civil engineering. Practically oriented papers are particularly welcome. Papers cover solid mechanics, fluid mechanics, the behaviour of granular materials, structural, stress and strain analysis, and the dynamics of structures and fluid/structure interactions. Papers specifically covering materials science or soil and rock mechanics will not normally be included. However, contributions dealing with problems at the interfaces between geotechnical engineering, structural engineering and fluid mechanics may be considered. Similarly, papers dealing with the application of materials in engineering mechanics are also welcome.        "
251,Electronic Journal of Structural Engineering,"      Original papers are invited from individuals involved in the field of structural engineering and construction. The areas of special interests include the following, but are not limited to:-Analytical and design methods-Bridges and High-rise Buildings-Case studies and failure investigation-Innovations in design and new technology-New Construction Materials-Performance of Structures-Prefabrication Technology-Repairs, Strengthening, and Maintenance-Stability and Scaffolding Engineering-Soil-structure interaction-Standards and Codes of Practice-Structural and solid mechanics-Structural Safety and Reliability-Testing Technologies-Vibration, impact, and structural dynamics-Wind and earthquake engineering.Researchers and practicing structural engineers are cordially invited to submit their contributions to the profession to the Editorial Board. Please see the Authors' Guide for information on manuscript submission.        "
252,International Journal of Engineering and Technology Innovation,      The IJETI journal focus on the field of engineering and technology Innovation. And it publishes original papers including but not limited to the following fields:-Automation Engineering-Civil Engineering-Control Engineering-Electric Engineering-Electronic Engineering-Green Technology-Information Engineering-Mechanical Engineering-Material Engineering-Mechatronics and Robotics Engineering-Nanotechnology-Optic Engineering-Sport Science and Technology-Innovation Management-Other Engineering and Technology Related Topics.        
253,Journal of Asian Architecture and Building Engineering,"      Journal of Asian Architecture and Building Engineering is a refereed international Open Access journal, serving researchers in academic and research organizations and all practitioners in the building sector. The journal is jointly-edited by the Architectural Institute of Japan (AIJ), the Architectural Institute of Korea (AIK), and the Architectural Society of China (ASC) and published bi-monthly.Asian academics and professionals have made efforts to find solutions to the themes derived from natural, geographical, socio-economical and cultural conditions in Asia. Their achievements have contributed to the evolution of research in the field of architecture and building engineering. For instance, achievements in structural engineering have contributed to the world by developing technology to assure safety of buildings in earthquake-prone areas.Asia has the largest share of the world's population with high densities in urban areas. It is a growing and the most energetic region in terms of building activities, which produces valuable empirical knowledge and lessons to architects and building engineers in Asia. It is quite significant to contribute to global architecture and building engineering by presenting the knowledge and lessons beyond linguistic barriers.By publishing the journal in English, it is expected that Asian wisdom and experience will be disseminated to the world. In the countries where these institutions are based, building professions can enjoy the collaborative and holistic approach because the three institutions distinctively possess the whole range of expertise relating to architecture and building engineering.        "
254,Transactions of the Royal Institution of Naval Architects Part B: International Journal of Small Craft Technology,"      International Journal of Small Craft Technology, (IJSCT) is published as Part B of the Transactions in June and December. The IJSCT provides a forum for the specialist reporting and discussion on technical and scientific issues associated with research and development of recreational and commercial small craft.        "
255,Journal of Sustainable Architecture and Civil Engineering,"      We intend to encourage scientists to publish their experimental and theoretical research on the aspects of sustainability (including climate change and clean energy, sustainable consumption & production, sustainable transport, conservation and management of natural resources, public health, social inclusion, cultural diversity and identity etc.) in  the fields of civil engineering (building structures, building materials, construction technology and management, buildings physics and building services, and geotechnical engineering) and architecture (architectural design and theory, architectural science and technology, planning, landscape architecture, building renovation, and architectural heritage preservation) and will pay a special attention to the joint research in these areas.        "
256,A|Z ITU Journal of Faculty of Architecture,"      A|Z ITU Journal of the Faculty of Architecture is an OPEN ACCESS Journal. You can read, download and print full text of articles. The journal is also published with ISSN number (ISSN 1302-8324).A|Z is a refereed journal and is published as three issues in a year in English. A|Z is open to the articles and book reviews about design, planning, research, education, technology, history and art.AIM: A|Z aims to contribute to scientific research, practice and education by publishing national and international studies.AUDIENCE: Academicians, researchers, educators, designers and planners will respect to be the audience and the contributors of the journal.CONTENT: A|Z has 3 sections. Dossier section provides a current or expected to be current subject in the national or international arena. The articles are not related the subject of dossier will be published in the theory section. Articles in both sections should be accepted by referees before publication. The book review section covers the book critics in the related subjects.        "
257,Journal of Japan Society of Civil Engineers,
258,International Journal of Sustainable Construction Engineering and Technology,"      The International Journal of Sustainable Construction Engineering Technology (IJSCET) is a double blind peer-reviewed journal, in collaboration with Concrete Society of Malaysia and Universiti Tun Hussein Onn Malaysia. It is a forum for the publication and dissemination of original work which contributes to the understanding of the main disciplines underpinning the sustainable construction engineering area. Original contributions giving insight into engineering practices and fundamental in sustainable construction engineering form the core of the journal contents. The journal publishes a wide range of research and application papers which describe laboratory and numerical investigations or report on full scale projects. International Journal of Sustainable Construction Engineering Technology also publishes detailed case studies and review articles, as well as short communications and discussions.        "
259,International Journal of Structural Engineering,"      Structural engineering is commonly considered a speciality within civil engineering, but it also includes any discipline which has a structural system. This field includes the analysis, design, plan, and research of structural components and structural systems. IJStructE is set up to report the relevant generic studies in this field.Topics covered include:Analytical/design methods-Blast engineering-Bridges, tall buildings-Case studies-Fire engineering-Infrastructure engineering-Innovative structures-Life assessment/durability-New construction materials-Repairs, strengthening, maintenance-Structure-fluid-soil interaction-Structural health monitoring, safety, reliability-Testing technologies-Vibration, impact/structural dynamics-Wind/earthquake engineering        "
260,Scientific Review Engineering and Environmental Sciences,"      Scientific Review Engineering and Environmental Sciences [Przegląd Naukowy Inżynieria i Kształtowanie Środowiska] covers broad area of knowledge and practice on fields such as: sustainable development, landscaping of non-urbanized lands, environmental engineering, construction projects engineering land management, protection and land reclamation, environmental impact of investments, ecology, hydrology and water management, ground-water monitoring and restoration, geotechnical engineering, meteorology and connecting subjects. Authors are welcome to submit theoretical and practice-oriented papers containing detailed case studies within above mentioned disciplines. However, theoretical papers should contain part with practical application of the theory presented. Papers (in Polish or English languages) are accepted for publication after obtaining positive opinions of two reviewers. Papers published elsewhere are not accepted.        "
261,"International Journal of Aviation, Aeronautics, and Aerospace","      The International Journal of Aviation, Aeronautics, and Aerospace (IJAAA) is a peer-reviewed publication for scholars from a variety of backgrounds including educators, industry personnel, and government researchers.The editorial focus is on the global issues that are currently facing the aviation, aeronautics, and aerospace segments. Example subject areas that would be appropriate for inclusion in the journal are:Underrepresented groups in aviation/aerospaceCurrent aviation problems and solutions (e.g. NextGen, airport delays)Space launch and operations/missionsAir traffic controlAeronautical engineeringUnmanned systemsGovernment research in aviation/aerospaceSciences, Technology, Engineering, and Mathematics (STEM) educationCrew and general resource managementAviation/aeronautics/aerospace primary, secondary, and higher educationAviation/aerospace manufacturingAviation/aerospace safetyAviation/aerospace securityAviation/aerospace trainingAviation/aerospace educationAviation/aerospace meteorologyAviation/aerospace navigation and avionics systemsAviation/aerospace maintenanceAviation/aerospace finance and managementAviation/aerospace logisticsAviation/aerospace legislation and regulationAviation/aerospace medicine        "
262,Civil Engineering and Architecture,      Information not localized        
263,"Tumu Jianzhu yu Huanjing Gongcheng/Journal of Civil, Architectural and Environmental Engineering","      Journal of Civil, Architectural & Environmental Engineering (JCAEE), aims to be an indispensable platform for disseminating the latest developments and achievements in research of Civil, Architectural & Environmental Engineering.       JCAEE has the following columns: civil engineering, municipal & environmental engineering, heating ventilation and air controlling (HVAC) engineering, building physics, and building materials. The scope of civil engineering covers structural engineering, geotechnical engineering, bridge and tunnel engineering, disaster prevention and mitigation engineering, etc. The municipal & environmental engineering column focuses on municipal engineering, water and air pollution control engineering, multipurpose use of solid waste, etc. The HVAC engineering and building physics column is mainly about heating ventilation and air controlling engineering, architectural thermal engineering, architectural optics, and architectural acoustics, etc. The building materials column publishes papers on building materials and its relevant fields.        "
264,Tumu yu Huanjing Gongcheng Xuebao/Journal of Civil and Environmental Engineering,"      《土木与环境工程学报（中英文）》(原《土木建筑与环境工程》),1957年创刊,是教育部主管、重庆大学主办的专业性学术刊物(双月刊), 主要刊载国内外土木工程、环境科学与工程等领域最新研究成果，促进学术交流，培育高级人才，推动相关学科的繁荣发展。        "
265,Teknik Dergi/Technical Journal of Turkish Chamber of Civil Engineers,"      The scope of Teknik Dergi is naturally confined with the subjects falling in the area of civil engineering. However, the area of civil engineering has recently been significantly enlarged, even the definition of civil engineering has somewhat changed.Half a century ago, engineering was simply defined as “the art of using and converting the natural resources for the benefit of the mankind”. Today, the same objective is expected to be realised (i) by complying with the desire and expectations of the people concerned and (ii) without wasting the resources and within the sustainability principles. This change has required an interaction between engineering and social and administrative sciences. Some subjects at the borderline between civil engineering and social and administrative sciences have consequently been included in the area of civil engineering.Teknik Dergi defines its scope in line with this understanding. However, it requires the papers falling in the borderline to have a significant component of civil engineering.         "
266,Chinese Journal of Engineering Design,"      Chinese Journal of Engineering Design is a reputable journal published by Zhejiang University Press Co., Ltd.  It was founded in December, 1994 as the first internationally cooperative journal in the area of engineering design research. Administrated by the Ministry of Education of China, it is sponsored by both Zhejiang University and Chinese Society of Mechanical Engineering. Zhejiang University Press Co., Ltd. is fully responsible for its bimonthly domestic and oversea publication. Its page is in A4 size.       This journal is devoted to reporting most up-to-date achievements of engineering design researches and therefore, to promote the communications of academic researches and their applications to industry. Achievments of great creativity and practicablity are extraordinarily desirable. Aiming at supplying designers, developers and researchers of diversified technical artifacts with valuable references, its content covers all aspects of design theory and methodology, as well as its enabling environment, for instance, creative design, concurrent design, conceptual design, intelligent design, web-based design, reverse engineering design, industrial design, design optimization, tribology, design by biological analogy, virtual reality in design, structural analysis and design, design knowledge representation, design knowledge management, design decision-making systems, etc.        "
267,Chongqing Daxue Xuebao/Journal of Chongqing University,      《重庆大学学报》是教育部主管、重庆大学主办的自然科学综合性学术刊物。它以马列主义、毛泽东思想、邓小平理论和“三个代表”重要思想为指导，以促进科学技术发展，促进学术交流，培育科技人才，为社会主义现代化建设服务为宗旨。重点报道机械、电气、材料、土木、资源环境、计算机、通信、自动化、光电、热能、化工、生物工程、物理等领域的最新研究成果。        
268,Dams and Reservoirs,"      Dams and Reservoirs is the official journal of the British Dam Society (BDS).The journal welcomes high quality technical papers, technical notes, briefing articles, case studies and discussions from all over the world related to the design, construction, operation, safety and environmental aspects of dams, reservoirs and their ancillary works. The journal reports on the work of the BDS worldwide and the related work of the International Commission on Large Dams.        "
269,Advances in Military Technology,"      AiMT is a peer reviewed journal that provides insight into theoretical considerations and practical innovations in military and security technology. The journal covers a broad spectrum of interests including research, development, design, manufacturing, control, utilization, reliability, sustainability, and the effectiveness of new technologies for military and security requirements. AiMT builds a bridge between theoretical perspectives and practical considerations that are of active interest to the academic, scientific, business and policy communities.The journal welcomes original contributions of theoretical and practical interest, which have not been submitted to other journals, nor previously published. All submissions are refereed in a peer review process by experts appointed by the Editorial Board. AiMT is published semi-annually in June and November. Contributions are published only in English.        "
270,Carreteras,"      Highways magazine has become one of the oldest in Spain industry publications. It has technical and content extends the scope of motorways, other interurban roads, urban roads and airport runways. The treatment of these topics covers infrastructure aspects (planning, financing, design, construction, maintenance, operation, products and materials ...), road safety (equipment, traffic management, intelligent transportation systems ...), medium environment and transport, focusing attention on both the experience, research and national innovations as to those arising outside our borders.        "
271,Applied and Computational Mechanics,"      The ACM journal covers a broad spectrum of topics in all fields of applied and computational mechanics with special emphasis on mathematical modelling and numerical simulations with experimental support, if relevant. Our audience is the international scientific community, academics as well as engineers interested in such disciplines. Original research papers falling into the following areas are considered for possible publication:solid mechanics,mechanics of materials,thermodynamics,biomechanics and mechanobiology,fluid-structure interaction,dynamics of multibody systems,mechatronics,vibrations and waves,reliability and durability of structures,structural damage and fracture mechanics,heterogenous media and multiscale problems,structural mechanics,experimental methods in mechanics.This list is neither exhaustive nor fixed.        "
272,Archives of Hydroengineering and Environmental Mechanics,"      Archives of Hydro-Engineering and Environmental Mechanics (formerly Archives of Hydro-Engineering and Archiwum Hydrotechniki) cover the broad range of research disciplines related to hydro-engineering, including: hydrodynamics and hydraulics of inlands and sea waters, hydrology, hydroelasticity, ground-water hydraulics, water contamination, coastal engineering, geotechnical engineering, geomechanics and structural mechanics.The main objective of Archives of Hydro-Engineering and Environmental Mechanics is to provide an up-to-date reference for civil engineers and scientists involved in the applications of mechanics to the analysis of various phenomena encountered in the natural environment, those occurring due to human activities, as well as to the problems arising from the influence of the environment on man-made structures and objects. Theoretical, experimental and practice-oriented papers on various topics, such as those mentioned above, are welcomed. Review papers are also invited. Occasionally, special issues containing papers presented at international conferences and other scientific meetings may be published.        "
